🍑卫壹🍑,#genre#
甘肃卫视,http://118.254.203.236:8888/udp/239.76.253.94:9000
青海卫视,http://118.254.203.236:8888/udp/239.76.254.132:9000
宁夏卫视,http://118.254.203.236:8888/udp/239.76.252.107:9000
兵团卫视,http://118.254.203.236:8888/udp/239.76.252.232:9000
新疆卫视,http://118.254.203.236:8888/udp/239.76.252.109:9000
西藏卫视,http://118.254.203.236:8888/udp/239.76.252.108:9000
大湾区卫视,http://118.254.203.236:8888/udp/239.76.252.114:9000
内蒙古卫视,http://118.254.203.236:8888/udp/239.76.252.106:9000
黑龙江卫视,http://118.254.203.236:8888/udp/239.76.253.200:9000

🍑卫贰🍑,#genre#
湖南卫视,http://171.223.215.229:4000/udp/239.93.0.88:5140
浙江卫视,http://171.223.215.229:4000/udp/239.93.0.124:5140
江苏卫视,http://171.223.215.229:4000/udp/239.93.0.89:5140
东方卫视,http://171.223.215.229:4000/udp/239.93.0.123:5140
广东卫视,http://171.223.215.229:4000/udp/239.93.0.181:5140
广西卫视,http://171.223.215.229:4000/udp/239.93.42.46:5140
深圳卫视,http://171.223.215.229:4000/udp/239.93.0.182:5140
河南卫视,http://171.223.215.229:4000/udp/239.93.42.45:5140
河北卫视,http://171.223.215.229:4000/udp/239.93.0.132:5140
北京卫视,http://171.223.215.229:4000/udp/239.93.0.180:5140
天津卫视,http://171.223.215.229:4000/udp/239.93.0.167:5140
辽宁卫视,http://171.223.215.229:4000/udp/239.93.1.108:5140
吉林卫视,http://171.223.215.229:4000/udp/239.93.0.248:5140
安徽卫视,http://171.223.215.229:4000/udp/239.93.1.106:5140
山东卫视,http://171.223.215.229:4000/udp/239.93.0.168:5140
四川卫视,http://171.223.215.229:4000/udp/239.93.0.169:5140
重庆卫视,http://171.223.215.229:4000/udp/239.93.1.107:5140
康巴卫视,http://171.223.215.229:4000/udp/239.93.0.41:5140
湖北卫视,http://171.223.215.229:4000/udp/239.93.0.250:5140
江西卫视,http://171.223.215.229:4000/udp/239.93.0.134:5140
山西卫视,http://171.223.215.229:4000/udp/239.93.0.6:5140
陕西卫视,http://171.223.215.229:4000/udp/239.93.0.176:5140
云南卫视,http://171.223.215.229:4000/udp/239.93.1.174:5140
贵州卫视,http://171.223.215.229:4000/udp/239.93.0.131:5140
东南卫视,http://171.223.215.229:4000/udp/239.93.0.42:5140
厦门卫视,http://171.223.215.229:4000/udp/239.93.42.57:5140
海南卫视,http://171.223.215.229:4000/udp/239.93.0.80:5140
三沙卫视,http://171.223.215.229:4000/udp/239.93.42.58:5140
甘肃卫视,http://171.223.215.229:4000/udp/239.93.0.81:5140
青海卫视,http://171.223.215.229:4000/udp/239.93.0.192:5140
宁夏卫视,http://171.223.215.229:4000/udp/239.93.0.247:5140
兵团卫视,http://171.223.215.229:4000/udp/239.93.42.43:5140
新疆卫视,http://171.223.215.229:4000/udp/239.93.0.194:5140
西藏卫视,http://171.223.215.229:4000/udp/239.93.0.175:5140
黑龙江卫视,http://171.223.215.229:4000/udp/239.93.0.183:5140
内蒙古卫视,http://171.223.215.229:4000/udp/239.93.0.8:5140

🍑卫叁🍑,#genre#
湖南卫视,http://116.112.91.149:7000/udp/239.125.2.67:4120
浙江卫视,http://116.112.91.149:7000/udp/239.125.2.68:4120
江苏卫视,http://116.112.91.149:7000/udp/239.125.2.69:4120
东方卫视,http://116.112.91.149:7000/udp/239.125.2.82:4120
广东卫视,http://116.112.91.149:7000/udp/239.125.2.71:4120
广西卫视,http://116.112.91.149:7000/udp/239.125.1.167:4130
深圳卫视,http://116.112.91.149:7000/udp/239.125.2.76:4120
河南卫视,http://116.112.91.149:7000/udp/239.125.1.156:4130
河北卫视,http://116.112.91.149:7000/udp/239.125.2.70:4120
北京卫视,http://116.112.91.149:7000/udp/239.125.2.73:4120
天津卫视,http://116.112.91.149:7000/udp/239.125.2.81:4120
辽宁卫视,http://116.112.91.149:7000/udp/239.125.2.72:4120
吉林卫视,http://116.112.91.149:7000/udp/239.125.2.191:4120
安徽卫视,http://116.112.91.149:7000/udp/239.125.2.78:4120
山东卫视,http://116.112.91.149:7000/udp/239.125.2.75:4120
四川卫视,http://116.112.91.149:7000/udp/239.125.2.79:4120
重庆卫视,http://116.112.91.149:7000/udp/239.125.2.102:4130
湖北卫视,http://116.112.91.149:7000/udp/239.125.2.74:4120
江西卫视,http://116.112.91.149:7000/udp/239.125.2.101:4129
山西卫视,http://116.112.91.149:7000/udp/239.125.1.119:4130
陕西卫视,http://116.112.91.149:7000/udp/239.125.1.155:4130
云南卫视,http://116.112.91.149:7000/udp/239.125.1.160:4130
贵州卫视,http://116.112.91.149:7000/udp/239.125.2.80:4120
东南卫视,http://116.112.91.149:7000/udp/239.125.2.77:4120
海南卫视,http://116.112.91.149:7000/udp/239.125.2.189:4120
三沙卫视,http://116.112.91.149:7000/udp/239.125.1.180:4130
甘肃卫视,http://116.112.91.149:7000/udp/239.125.2.190:4120
青海卫视,http://116.112.91.149:7000/udp/239.125.1.150:4130
宁夏卫视,http://116.112.91.149:7000/udp/239.125.1.157:4130
兵团卫视,http://116.112.91.149:7000/udp/239.125.1.135:4130
新疆卫视,http://116.112.91.149:7000/udp/239.125.1.123:4130
西藏卫视,http://116.112.91.149:7000/udp/239.125.1.117:4130
黑龙江卫视,http://116.112.91.149:7000/udp/239.125.2.83:4120
内蒙古卫视,http://116.112.91.149:7000/udp/239.125.1.59:5000

🍑卫肆🍑,#genre#
湖南卫视,http://120.211.119.222:8899/hls/19/index.m3u8
浙江卫视,http://120.211.119.222:8899/hls/26/index.m3u8
江苏卫视,http://120.211.119.222:8899/hls/20/index.m3u8
东方卫视,http://120.211.119.222:8899/hls/32/index.m3u8
广东卫视,http://120.211.119.222:8899/hls/25/index.m3u8
广西卫视,http://120.211.119.222:8899/hls/35/index.m3u8
深圳卫视,http://120.211.119.222:8899/hls/23/index.m3u8
河南卫视,http://120.211.119.222:8899/hls/48/index.m3u8
河北卫视,http://120.211.119.222:8899/hls/18/index.m3u8
北京卫视,http://120.211.119.222:8899/hls/21/index.m3u8
天津卫视,http://120.211.119.222:8899/hls/22/index.m3u8
辽宁卫视,http://120.211.119.222:8899/hls/28/index.m3u8
吉林卫视,http://120.211.119.222:8899/hls/36/index.m3u8
安徽卫视,http://120.211.119.222:8899/hls/29/index.m3u8
山东卫视,http://120.211.119.222:8899/hls/24/index.m3u8
四川卫视,http://120.211.119.222:8899/hls/31/index.m3u8
重庆卫视,http://120.211.119.222:8899/hls/33/index.m3u8
湖北卫视,http://120.211.119.222:8899/hls/30/index.m3u8
江西卫视,http://1.195.111.251:11190/tsfile/live/0138_1.m3u8
山西卫视,http://120.211.119.222:8899/hls/38/index.m3u8
陕西卫视,http://120.211.119.222:8899/hls/37/index.m3u8
云南卫视,http://120.211.119.222:8899/hls/47/index.m3u8
贵州卫视,http://120.211.119.222:8899/hls/49/index.m3u8
东南卫视,http://120.211.119.222:8899/hls/34/index.m3u8
旅游卫视,http://120.211.119.222:8899/hls/45/index.m3u8
甘肃卫视,http://120.211.119.222:8899/hls/44/index.m3u8
青海卫视,http://120.211.119.222:8899/hls/40/index.m3u8
宁夏卫视,http://120.211.119.222:8899/hls/41/index.m3u8
新疆卫视,http://120.211.119.222:8899/hls/43/index.m3u8
西藏卫视,http://120.211.119.222:8899/hls/42/index.m3u8
黑龙江卫视,http://120.211.119.222:8899/hls/27/index.m3u8
内蒙古卫视,http://120.211.119.222:8899/hls/39/index.m3u8

🍑卫伍🍑,#genre#
北京科教,http://118.144.105.57:91/live/BTVKJhd-5M/live.m3u8
体育休闲,http://118.144.105.57:91/live/BTVTYhd-8M/live.m3u8
北京生活,http://118.144.105.52:91/live/BTVSHhd-5M/live.m3u8
北京新闻,http://124.205.11.203:91/live/BTVXWhd-5M/live.m3u8
北京新闻,http://118.144.105.52:91/live/BTVXW-1500k/live.m3u8
北京卫视,http://124.205.11.246:91/live/BJWShd-5M/live.m3u8
北京卫视,http://118.144.105.51:91/live/BJWS-1500k/live.m3u8
北京文艺,http://124.205.11.202:91/live/BTVWYhd-5M/live.m3u8
北京文艺,http://124.205.11.203:91/live/BTVWY-1500k/live.m3u8
北京影视,http://118.144.105.50:91/live/BTVYShd-5M/live.m3u8
北京影视,http://124.205.11.200:91/live/BTVYS-1500k/live.m3u8
北京财经,http://124.205.11.246:91/live/BTVCJhd-5M/live.m3u8
北京财经,http://124.205.11.202:91/live/BTVCJ-1500k/live.m3u8
北京国际,http://124.205.11.202:91/live/BTVGJ-1500k/live.m3u8
湖南卫视,http://118.144.105.54:91/live/HuNWShd-5M/live.m3u8
湖南卫视,http://124.205.11.205:91/live/HuNWS-1500k/live.m3u8
浙江卫视,http://124.205.11.246:91/live/ZJWShd-5M/live.m3u8
浙江卫视,http://124.205.11.205:91/live/ZJWS-1500k/live.m3u8
江苏卫视,http://118.144.105.50:91/live/JSWShd-5M/live.m3u8
江苏卫视,http://118.144.105.51:91/live/JSWS-1500k/live.m3u8
东方卫视,http://124.205.11.205:91/live/DFWShd-5M/live.m3u8
东方卫视,http://124.205.11.202:91/live/DFWS-1500k/live.m3u8
广东卫视,http://124.205.11.205:91/live/GDWShd-8M/live.m3u8
广东卫视,http://124.205.11.203:91/live/GDWS-1500k/live.m3u8
大湾区卫视,http://118.144.105.51:91/live/NFWS-1500k/live.m3u8
深圳卫视,http://118.144.105.53:91/live/SZWShd-8M/live.m3u8
深圳卫视,http://124.205.11.199:91/live/SZWS-1500k/live.m3u8
广西卫视,http://124.205.11.200:91/live/GXWS-1500k/live.m3u8
河北卫视,http://118.144.105.53:91/live/HeBWShd-8M/live.m3u8
天津卫视,http://124.205.11.203:91/live/TJWShd-5M/live.m3u8
天津卫视,http://124.205.11.200:91/live/TJWS-1500k/live.m3u8
辽宁卫视,http://118.144.105.56:91/live/LNWShd-8M/live.m3u8
辽宁卫视,http://118.144.105.52:91/live/LNWS-1500k/live.m3u8
吉林卫视,http://124.205.11.243:91/live/JLWShd-8M/live.m3u8
吉林卫视,http://124.205.11.242:91/live/JLWS-1500k/live.m3u8
安徽卫视,http://118.144.105.56:91/live/AHWShd-8M/live.m3u8
安徽卫视,http://124.205.11.242:91/live/AHWS-1500k/live.m3u8
山东卫视,http://124.205.11.202:91/live/SDWShd-5M/live.m3u8
四川卫视,http://118.144.105.50:91/live/SCWS-1500k/live.m3u8
重庆卫视,http://118.144.105.54:91/live/CQWShd-8M/live.m3u8   
湖北卫视,http://124.205.11.202:91/live/HuBWShd-5M/live.m3u8
湖北卫视,http://124.205.11.199:91/live/HuBWS-1500k/live.m3u8
江西卫视,http://124.205.11.202:91/live/JXWShd-8M/live.m3u8
江西卫视,http://118.144.105.50:91/live/JXWS-1500k/live.m3u8
山西卫视,http://118.144.105.54:91/live/SXWS1-1500k/live.m3u8
陕西卫视,http://124.205.11.199:91/live/SXWS3-1500k/live.m3u8
云南卫视,http://124.205.11.203:91/live/YNWS-1500k/live.m3u8
贵州卫视,http://118.144.105.50:91/live/GZWShd-8M/live.m3u8
贵州卫视,http://118.144.105.56:91/live/GZWS-1500k/live.m3u8
东南卫视,http://118.144.105.54:91/live/DNWShd-8M/live.m3u8
东南卫视,http://124.205.11.197:91/live/DNWS-1500k/live.m3u8
海南卫视,http://118.144.105.54:91/live/LYWS-1500k/live.m3u8
三沙卫视,http://124.205.11.200:91/live/SSWS-1500k/live.m3u8
厦门卫视,http://118.144.105.54:91/live/XMWS-1500k/live.m3u8
青海卫视,http://124.205.11.199:91/live/QHWS-1500k/live.m3u8
宁夏卫视,http://124.205.11.203:91/live/NXWS-1500k/live.m3u8
兵团卫视,http://124.205.11.197:91/live/BTWS-1500k/live.m3u8
新疆卫视,http://124.205.11.197:91/live/XJWS-1500k/live.m3u8
西藏卫视,http://124.205.11.202:91/live/XZWS-1500k/live.m3u8
纪实人文,http://118.144.105.51:91/live/JSRWhd-8M/live.m3u8
金鹰纪实,http://124.205.11.246:91/live/JYJShd-8M/live.m3u8
黑龙江卫视,http://124.205.11.197:91/live/HLJWShd-8M/live.m3u8
内蒙古卫视,http://118.144.105.55:91/live/NMGWS-1500k/live.m3u8

